model,dataset,attack_acc,member_acc,non_member_acc,advantage
XGBoost,baseline,0.731,0.731,0.731,0.463
XGBoost,eps_0.1,0.772,0.772,0.772,0.545
XGBoost,eps_0.5,0.805,0.806,0.805,0.611
XGBoost,eps_1.0,0.78,0.785,0.776,0.561
XGBoost,eps_2.0,0.783,0.789,0.778,0.567
Random Forest,baseline,0.542,0.537,0.548,0.085
Random Forest,eps_0.1,0.595,0.593,0.596,0.19
Random Forest,eps_0.5,0.555,0.532,0.578,0.11
Random Forest,eps_1.0,0.55,0.539,0.56,0.099
Random Forest,eps_2.0,0.557,0.543,0.57,0.113
Gradient Boosting,baseline,0.724,0.713,0.735,0.448
Gradient Boosting,eps_0.1,0.693,0.698,0.688,0.386
Gradient Boosting,eps_0.5,0.723,0.708,0.737,0.445
Gradient Boosting,eps_1.0,0.72,0.715,0.724,0.439
Gradient Boosting,eps_2.0,0.708,0.703,0.714,0.416
Extra Trees,baseline,0.493,0.513,0.473,-0.014
Extra Trees,eps_0.1,0.512,0.531,0.494,0.025
Extra Trees,eps_0.5,0.503,0.512,0.495,0.007
Extra Trees,eps_1.0,0.502,0.494,0.51,0.004
Extra Trees,eps_2.0,0.498,0.484,0.512,-0.005
