model,dataset,mae,rmse
XGBoost,baseline,580.514,789.58
XGBoost,eps_0.1,6475.128,7834.197
XGBoost,eps_0.5,2310.265,2972.519
XGBoost,eps_1.0,1356.471,1756.939
XGBoost,eps_2.0,854.816,1109.097
Random Forest,baseline,533.822,719.104
Random Forest,eps_0.1,6061.387,7159.27
Random Forest,eps_0.5,2078.111,2703.963
Random Forest,eps_1.0,1247.228,1625.116
Random Forest,eps_2.0,786.402,1028.827
Gradient Boosting,baseline,580.962,789.57
Gradient Boosting,eps_0.1,6270.34,7562.706
Gradient Boosting,eps_0.5,2223.626,2871.077
Gradient Boosting,eps_1.0,1342.251,1733.267
Gradient Boosting,eps_2.0,838.774,1086.262
Extra Trees,baseline,520.254,695.751
Extra Trees,eps_0.1,5835.613,6837.691
Extra Trees,eps_0.5,2006.232,2617.84
Extra Trees,eps_1.0,1218.356,1598.207
Extra Trees,eps_2.0,764.053,1001.515
