salario,idade,tempo_na_empresa,nota_media,qtd_beneficios,cargo,setor
4500.0,35,4,0.0,5,Administrador do Sistema,Administração
5440.0,54,3,0.0,0,Analista de RH,Operações
7614.0,24,0,0.0,0,Analista de RH,Tecnologia
4714.0,46,1,0.0,0,Analista de RH,Operações
2910.0,21,3,0.0,0,Funcionário,Recursos Humanos
6556.0,38,3,0.0,0,Analista de RH,Operações
2974.0,20,4,0.0,0,Funcionário,Recursos Humanos
8487.0,61,3,0.0,0,Analista de RH,Recursos Humanos
3559.0,35,3,0.0,0,Analista de RH,Recursos Humanos
6638.0,64,0,0.0,0,Analista de RH,Tecnologia
1935.0,20,2,0.0,0,Funcionário,Tecnologia
4481.0,57,5,0.0,0,Analista de RH,Recursos Humanos
1855.0,57,10,0.0,0,Funcionário,Recursos Humanos
7226.0,51,6,0.0,0,Analista de RH,Recursos Humanos
1459.0,64,8,0.0,0,Funcionário,Operações
1290.0,49,0,0.0,0,Funcionário,Tecnologia
9187.0,21,2,0.0,0,Analista de RH,Recursos Humanos
8404.0,27,6,0.0,0,Analista de RH,Operações
2228.0,51,0,0.0,0,Funcionário,Administração
2224.0,35,10,0.0,0,Funcionário,Administração
7757.0,59,1,0.0,0,Analista de RH,Tecnologia
4235.0,20,5,0.0,0,Analista de RH,Recursos Humanos
9286.0,65,4,3.0,6,Analista de RH,Operações
9963.0,61,1,0.0,6,Analista de RH,Operações
2657.0,58,1,0.0,3,Funcionário,Recursos Humanos
2034.0,46,1,0.0,3,Funcionário,Recursos Humanos
2512.0,32,9,3.75,3,Funcionário,Administração
1535.0,34,5,3.75,3,Funcionário,Recursos Humanos
2103.0,58,5,6.25,3,Funcionário,Tecnologia
1319.0,23,2,6.0,3,Funcionário,Operações
8944.0,65,5,5.5,6,Analista de RH,Tecnologia
1943.0,43,9,3.75,3,Funcionário,Tecnologia
2003.0,23,7,5.666666666666667,3,Funcionário,Tecnologia
1416.0,31,7,6.166666666666667,3,Funcionário,Tecnologia
10648.0,38,8,5.428571428571429,6,Analista de RH,Recursos Humanos
2173.0,38,6,5.0,3,Funcionário,Administração
8536.0,57,10,5.444444444444445,6,Analista de RH,Administração
1697.0,21,10,6.111111111111111,3,Funcionário,Tecnologia
1912.0,44,4,4.666666666666667,3,Funcionário,Operações
2459.0,49,5,4.0,3,Funcionário,Operações
1957.0,53,7,5.833333333333333,3,Funcionário,Tecnologia
9894.0,35,0,0.0,6,Analista de RH,Administração
8287.0,33,10,6.333333333333333,6,Analista de RH,Tecnologia
5586.0,32,1,0.0,6,Analista de RH,Operações
2518.0,30,7,4.166666666666667,3,Funcionário,Recursos Humanos
1354.0,30,4,6.333333333333333,3,Funcionário,Tecnologia
4332.0,58,1,0.0,6,Analista de RH,Recursos Humanos
8178.0,21,10,6.333333333333333,6,Analista de RH,Recursos Humanos
9046.0,62,8,5.0,6,Analista de RH,Recursos Humanos
2445.0,61,1,0.0,3,Funcionário,Operações
1570.0,59,3,6.5,3,Funcionário,Administração
2801.0,50,2,0.0,3,Funcionário,Administração
2089.0,20,8,4.142857142857143,3,Funcionário,Operações
2552.0,24,2,6.0,3,Funcionário,Operações
6294.0,43,8,4.5,6,Analista de RH,Operações
9326.0,50,5,7.75,6,Analista de RH,Tecnologia
2613.0,29,8,7.142857142857143,3,Funcionário,Administração
4967.0,46,1,0.0,6,Analista de RH,Tecnologia
1825.0,66,4,4.333333333333333,3,Funcionário,Tecnologia
2481.0,62,4,3.3333333333333335,3,Funcionário,Recursos Humanos
4551.0,55,9,5.125,6,Analista de RH,Recursos Humanos
4483.0,62,11,4.888888888888889,6,Analista de RH,Operações
3646.0,35,8,5.428571428571429,6,Analista de RH,Administração
3143.0,36,2,0.0,0,Analista de RH,Tecnologia
7878.0,51,3,0.0,0,Analista de RH,Recursos Humanos
2673.0,26,4,0.0,0,Funcionário,Administração
1567.0,55,1,0.0,0,Funcionário,Administração
8873.0,49,9,0.0,0,Analista de RH,Tecnologia
1341.0,23,10,0.0,0,Funcionário,Operações
2735.0,33,0,0.0,0,Funcionário,Recursos Humanos
4378.0,63,2,0.0,0,Analista de RH,Recursos Humanos
2203.0,47,8,0.0,0,Funcionário,Administração
2257.0,28,1,0.0,0,Funcionário,Administração
2252.0,37,5,0.0,0,Funcionário,Administração
9427.0,58,10,0.0,0,Analista de RH,Recursos Humanos
1563.0,62,2,0.0,0,Funcionário,Recursos Humanos
